x,y,c
-1.80704347968,-1.59932732882,0
5.01393401459,-1.26112581329,1
-4.1586724347,-1.21845390774,4
5.10524391026,0.262120853112,1
-2.15264594522,-1.54850561895,0
5.1242532078,0.190902658734,1
-4.14450663366,-1.25018114249,4
-2.20088407693,0.173608406614,3
5.26257872573,0.253020959146,1
-1.64101835078,1.26638884426,3
-2.16969592636,0.404875365253,3
-2.31687098461,1.18336143431,3
-1.87376312649,-0.955714402341,0
-2.20441320385,1.83629016035,3
-1.61344161021,-1.64864435777,0
4.41704123464,-0.0754783775742,1
-1.23027431896,0.776495907453,3
-2.06065919746,0.566125913764,3
-1.6123937548,-0.830366267797,0
4.97501047823,0.0485566656358,1
4.9203484135,-0.100932596289,1
-1.72246273305,1.0834422503,3
-1.5101025139,-0.877340245423,0
4.89579663964,-0.228394232944,1
-2.40469753399,0.283218301498,3
4.8696851436,-0.463315889308,1
-2.22736880157,0.796848149006,3
5.15170258223,0.0081654233556,1
-2.4588527129,1.17019733523,3
-4.28476722607,-1.24527756966,4
-2.03157174819,0.93950491112,3
-1.3714035824,1.84691206659,3
-2.40082888756,0.931085411796,3
-5.24399863862,1.29482125442,2
-5.38621497019,1.46053695342,2
4.82490290606,-0.324258042416,1
-1.97519659454,-1.45155535322,0
5.0784531388,0.192095297655,1
-1.56461131795,0.486083961362,3
4.65412907054,-0.814208701564,1
-3.54549426818,0.348783279524,4
-1.83243127181,-0.893215111421,0
-2.36874663973,0.560879951337,3
-4.3104163952,-1.18288806138,4
-2.33202858482,0.966205463571,3
-1.49859465452,0.622571830692,3
4.84917934716,-0.351546483432,1
5.12682669495,0.394495649373,1
-2.49412061297,0.406538034557,3
-4.15306217609,-1.22598755801,4
5.34849633583,0.288212151653,1
-3.90458389059,-0.73543217681,4
-1.62552862879,1.40573659186,3
-0.751549319971,-1.86538932708,0
-1.65756006494,-1.53850961534,0
-2.36629967716,0.779242738161,3
4.80965454776,-0.491372170782,1
-2.37743898535,-1.36766722065,0
-1.99249567826,-0.865789820369,0
-1.77290919847,-0.480311088876,0
-1.44606754589,-0.899005932869,0
-2.44304067915,0.738865170893,3
-1.54721224608,1.48652171332,3
-1.84399094738,-0.899036584261,0
4.64683545262,-0.711729493334,1
-2.28566913769,-1.42376490338,0
-4.11657271635,-1.30014757635,4
-1.96829515731,-1.25164636034,0
4.69297812778,-0.490739047347,1
-2.88020947182,0.106451914248,4
5.23188120294,-0.0768312063963,1
-2.11583006051,-1.15384638061,0
-4.4580086541,-1.1912640703,4
-1.60522786471,0.401448097972,3
-1.89793488331,-0.634950678374,0
-1.25086061581,-1.38692494314,0
4.82049969851,-0.015264443306,1
-1.97151827294,1.05532272534,3
-2.84163875022,0.633312055905,3
-1.47362497719,-0.409935933335,0
4.65091124664,-0.676429810693,1
-4.44707082893,-1.1842885124,4
5.40090791531,0.233249643949,1
-2.14138474219,-1.33175141449,0
5.3696218643,-0.0893285835496,1
-1.18579833852,2.59322886021,3
5.08106811609,0.0712745895281,1
-1.66767887765,-1.20510525601,0
-4.31500866231,-1.11960531396,4
-2.51395291116,0.884498872354,3
-0.375728080163,2.82003725001,3
-2.53057127497,0.592092429752,3
-2.2468124997,1.39442790034,3
-1.8296803364,0.196897240547,3
4.37641921176,-1.07618227306,1
-1.04089317608,0.659315474925,3
5.10121147338,-0.044537638046,1
-1.81912968729,0.781559809818,3
4.88363002045,-0.325421963394,1
3.32889040038,-0.761418967738,1
-1.4738568903,1.47313261729,3
-2.06203630176,0.506562495732,3
-4.27352540896,-1.19917662805,4
-1.82754629881,-0.481050606039,0
5.7676489593,1.50752256004,1
5.14676801835,0.0230035541861,1
-2.00710612563,-1.41153692318,0
-1.35045912333,-1.50930746883,0
5.25421977847,-0.191971105728,1
-2.34150674146,-1.44685730907,0
5.08715438302,0.0195231909422,1
5.24718326626,0.239693073208,1
5.20969595518,0.11910036991,1
-4.13337453849,-1.24248860348,4
-2.00209340571,0.170507406635,3
5.11681088433,0.384373024337,1
-5.28848689789,1.33838326486,2
5.05696532325,0.266568293871,1
-2.27449935175,0.413811257715,3
-1.87825151171,1.25926474414,3
-4.37084140413,-1.22927474033,4
-1.87542583874,1.34623957471,3
-1.78700930509,-1.54215693959,0
-2.23263544731,0.78438728777,3
-1.69426678077,0.918069260759,3
5.22243792802,0.0026692199511,1
-1.94703520278,0.192260659744,3
